transaction_id,amount,Status,Payment_Method
1,5501.04,Accepted,Mada
2,3913.73,Rejected,Credit Card
3,3071.38,Accepted,Mada
4,5072.62,Rejected,Apple Pay
5,364.89,Rejected,Apple Pay
6,912.23,Rejected,Apple Pay
7,5265.24,Rejected,Mada
8,5648.74,Accepted,Credit Card
9,6384.35,Rejected,Mada
10,6068.17,Rejected,Mada
11,2408.98,Accepted,Mada
12,1389.63,Accepted,Mada
13,3861.41,Rejected,STC Pay
14,857.48,Accepted,STC Pay
15,4088.13,Accepted,Mada
16,3645.39,Rejected,Apple Pay
17,592.78,Rejected,Credit Card
18,3767.35,Accepted,Apple Pay
19,7067.57,Accepted,Mada
20,5989.48,Rejected,STC Pay
21,6373.1,Accepted,Apple Pay
22,4020.23,Rejected,Credit Card
23,627.5,Accepted,Apple Pay
24,6454.66,Accepted,STC Pay
25,1829.81,Rejected,Credit Card
26,6277.07,Rejected,Apple Pay
27,4964.18,Accepted,Apple Pay
28,3811.79,Accepted,Apple Pay
29,5530.23,Rejected,STC Pay
30,5974.53,Rejected,STC Pay
31,1893.66,Rejected,STC Pay
32,1185.16,Rejected,STC Pay
33,4530.3,Rejected,Credit Card
34,3837.68,Accepted,STC Pay
35,5947.87,Rejected,Credit Card
36,7691.7,Accepted,Apple Pay
37,7493.51,Rejected,STC Pay
38,6124.64,Accepted,Credit Card
39,7489.83,Accepted,STC Pay
40,4903.65,Rejected,Mada
41,6038.83,Accepted,Mada
42,2622.67,Rejected,Credit Card
43,1235.3,Rejected,Credit Card
44,5984.87,Rejected,Credit Card
45,7715.56,Accepted,Mada
46,6414.4,Rejected,STC Pay
47,1340.63,Accepted,Mada
48,889.77,Rejected,STC Pay
49,5193.83,Accepted,Mada
50,4624.85,Accepted,STC Pay
51,7058.33,Accepted,Mada
52,7709.91,Accepted,Apple Pay
53,6856.91,Accepted,Apple Pay
54,5306.2,Accepted,Mada
55,3562.68,Rejected,Apple Pay
56,2812.44,Rejected,Apple Pay
57,2909.03,Rejected,STC Pay
58,6474.36,Accepted,Apple Pay
59,3987.5,Accepted,STC Pay
60,7775.64,Rejected,Apple Pay
61,2091.76,Accepted,Credit Card
62,124.34,Rejected,Apple Pay
63,4884.7,Accepted,STC Pay
64,2834.65,Rejected,STC Pay
65,4985.66,Rejected,Credit Card
66,3505.92,Rejected,STC Pay
67,1140.42,Accepted,STC Pay
68,2838.6,Rejected,STC Pay
69,5933.94,Accepted,STC Pay
70,1307.41,Accepted,Credit Card
71,7709.63,Accepted,STC Pay
72,3524.49,Rejected,Credit Card
73,657.41,Rejected,Mada
74,324.66,Rejected,STC Pay
75,2320.1,Accepted,Credit Card
76,5524.14,Rejected,Mada
77,3928.35,Rejected,Apple Pay
78,7168.06,Rejected,Apple Pay
79,6025.02,Rejected,Credit Card
80,1863.7,Accepted,Apple Pay
81,7136.16,Accepted,Mada
82,6002.75,Rejected,Mada
83,7735.92,Accepted,Credit Card
84,3563.14,Rejected,Apple Pay
85,3077.05,Rejected,STC Pay
86,4270.07,Accepted,STC Pay
87,1521.62,Rejected,STC Pay
88,1680.14,Accepted,Credit Card
89,3360.43,Rejected,Apple Pay
90,3784.09,Rejected,Mada
91,7675.94,Rejected,Credit Card
92,5985.95,Accepted,Credit Card
93,4116.91,Rejected,Apple Pay
94,3198.51,Rejected,STC Pay
